Estructura,TipoProducto,TipoBolsa,TipoSellado,GrupoFormato,Impreso,Calibre,Valvula,GradoTroquel,UsoZipper,PorcentajeCumplimiento
PET/FOIL/PEBD,ROLLO,0,0,Grupo 1,Si,menor igual 100,No valvula,no troquel,no zipper,1.069
PET/FOIL/PEBD,ROLLO,0,0,Grupo 1,Si,menor igual 100,No valvula,no troquel,no zipper,1.042
PET/FOIL/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.076
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.046
PET/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 100,No valvula,Grado bajo,no zipper,1.028
PET METALIZADO/PEBD,ROLLO,0,0,Grupo 1,NO,menor igual 100,No valvula,no troquel,no zipper,0.955
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.045
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,NO,mayor 100,No valvula,no troquel,no zipper,1.0
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.991
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.065
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.096
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 70,No valvula,no troquel,no zipper,1.051
PEADTS-AB,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,no troquel,zipper,1.059
PEADTS,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,no troquel,zipper,1.019
PET MATE/PET METALIZADO/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.99
BOPP MATE/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,Grado bajo,zipper,1.012
BOPP CAVITADO,BOLSA,PLANA,HILO,Grupo 1,Si,menor igual 100,No valvula,no troquel,no zipper,0.936
PET/PET METALIZADO/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.05
PET/PET METALIZADO/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.0
PET/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,Grado bajo,zipper,1.043
PET/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,No valvula,Grado bajo,zipper,1.131
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 3,Si,menor igual 70,No valvula,no troquel,no zipper,1.059
PET/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,No valvula,Grado alto,zipper,0.945
PET/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,No valvula,Grado alto,zipper,0.989
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.015
PET/BOPP METALIZADO/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.871
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.052
PET/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,No valvula,Grado alto,zipper,1.04
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 70,No valvula,no troquel,no zipper,1.074
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 70,No valvula,no troquel,no zipper,1.091
FLEXIBLE (PA-PE),BOLSA,PLANA,SELLADO COMPLETAMENTE,Grupo 2,Si,mayor 70,Valvula,no troquel,no zipper,1.05
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,Grado bajo,zipper,1.145
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,NO,menor igual 100,No valvula,no troquel,no zipper,0.973
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.908
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.06
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,menor igual 70,No valvula,no troquel,no zipper,1.056
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 1,Si,menor igual 100,No valvula,Grado bajo,zipper,0.947
BOPA/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.022
PET/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.034
PET/COEXT. HBA (PE-EVOH),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 100,No valvula,no troquel,no zipper,1.083
BOPA/FLEXIBLE (PA-PE),BOLSA,PLANA,SELLADO COMPLETAMENTE,Grupo 2,Si,menor igual 100,Valvula,no troquel,no zipper,0.916
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,mayor 70,No valvula,no troquel,no zipper,1.107
PEADTS,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,Grado bajo,zipper,0.913
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 70,No valvula,no troquel,no zipper,1.065
PET/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.024
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,1.0
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,Grado alto,no zipper,1.049
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.033
PET/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.019
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.059
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.075
BOPA/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,menor igual 100,No valvula,no troquel,no zipper,0.981
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 3,NO,mayor 70,Valvula,no troquel,no zipper,0.986
PET MATE/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 1,Si,mayor 100,No valvula,Grado bajo,zipper,0.997
PET/COEXT. HBA (PE-EVOH),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 100,No valvula,no troquel,no zipper,1.067
PET/COEXT. HBA (PE-EVOH),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 100,No valvula,no troquel,no zipper,1.045
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.82
PET/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,1.09
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.016
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 70,No valvula,no troquel,no zipper,1.062
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,mayor 70,No valvula,no troquel,no zipper,1.059
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 70,No valvula,no troquel,no zipper,0.985
PEADTS,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,no troquel,zipper,1.079
PET/COEXT. HBA (PE-EVOH),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,menor igual 100,No valvula,no troquel,no zipper,0.994
PEADTS,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,no troquel,zipper,1.083
PET/BOPP METALIZADO/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.891
BOPA/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,Grado bajo,zipper,1.013
FLEXIBLE (PA-PE),BOLSA,PLANA,SELLADO COMPLETAMENTE,Grupo 3,Si,mayor 70,Valvula,no troquel,no zipper,1.068
PEADTS,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,no troquel,zipper,1.042
PEADTS,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,no troquel,zipper,0.955
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,Grado bajo,no zipper,0.948
BOPA/PEBD,BOLSA,PLANA,LATERAL+FONDO+PRESELLE+SEGURIDAD,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,1.018
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.031
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.05
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.048
BOPP PLANO,LAMINA SEPARADORA,0,0,Grupo 1,NO,menor igual 100,No valvula,no troquel,no zipper,1.057
PET/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,NO,menor igual 100,No valvula,Grado bajo,no zipper,1.016
PET/PET METALIZADO/PEBD,BOLSA,PLANA,LATERAL+SEGURIDAD,Grupo 1,Si,menor igual 100,No valvula,Grado alto,no zipper,0.81
BOPA/PEBD,BOLSA,PLANA,LATERAL+FONDO+PRESELLE+SEGURIDAD,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,0.896
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 70,No valvula,no troquel,no zipper,1.121
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 3,NO,mayor 70,No valvula,no troquel,no zipper,0.935
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 3,NO,menor igual 70,No valvula,no troquel,no zipper,0.955
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 70,No valvula,no troquel,no zipper,1.019
PET/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,Grado bajo,zipper,0.965
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.028
BOPP METALIZADO/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,menor igual 100,No valvula,no troquel,no zipper,1.029
PET/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.965
PET MATE/PET METALIZADO/FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 100,Valvula,no troquel,no zipper,1.051
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,Grado alto,no zipper,0.95
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 3,NO,menor igual 70,No valvula,no troquel,no zipper,1.117
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 70,No valvula,no troquel,no zipper,1.071
BOPP PLANO/BOPP METALIZADO/PEBD,BOLSA,FLEX UP,MULTIFLEX UP SIN SELLE DE FONDO,Grupo 2,Si,mayor 100,No valvula,Grado bajo,zipper,1.033
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,menor igual 70,No valvula,no troquel,no zipper,0.95
PET/FOIL/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.758
BOPP PLANO/BOPP METALIZADO/PEBD,BOLSA,FLEX UP,MULTIFLEX UP SIN SELLE DE FONDO,Grupo 2,Si,mayor 100,No valvula,Grado bajo,zipper,0.838
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,mayor 70,Valvula,Grado alto,no zipper,0.963
PET/FLEXIBLE PCR (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,1.042
PET/FLEXIBLE PCR (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,1.056
PET/FLEXIBLE PCR (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.952
PET/FLEXIBLE PCR (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.973
PET/FOIL/PEBD,ROLLO,0,0,Grupo 5,Si,menor igual 100,No valvula,no troquel,no zipper,1.066
BOPP MATE/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.06
BOPP MATE/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,0.935
PET/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.971
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.063
BOPP MATE/BOPP METALIZADO,BOLSA,FLOW PACK,VENTRAL DORSO/DORSO,Grupo 1,Si,menor igual 100,No valvula,Grado bajo,no zipper,1.015
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.014
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.088
PET METALIZADO/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,NO,menor igual 100,No valvula,Grado bajo,no zipper,1.07
PAPEL/PET METALIZADO/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,Grado bajo,zipper,1.026
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 70,Valvula,no troquel,no zipper,1.077
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,NO,menor igual 70,No valvula,no troquel,no zipper,1.077
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.971
PET/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,Grado bajo,zipper,1.128
FLEXIBLE (PA-PE),BOLSA,PLANA,SELLADO COMPLETAMENTE,Grupo 1,Si,menor igual 70,Valvula,no troquel,no zipper,1.006
BOPP MATE/FOIL/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.986
PET/FOIL/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.016
PET/FOIL/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.92
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,NO,menor igual 70,No valvula,Grado bajo,no zipper,1.012
PET/BOPA/PEBD,ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.07
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,NO,menor igual 70,No valvula,Grado bajo,no zipper,1.021
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,Grado bajo,no zipper,1.084
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.061
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.042
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,No valvula,Grado bajo,zipper,1.014
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 2,Si,menor igual 100,No valvula,Grado bajo,zipper,1.034
PET/FOIL/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.081
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,1.012
PET/FOIL/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.091
PET/FOIL/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,0.908
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.049
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,1.064
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,1.035
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,0.971
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.079
FLEXIBLE (PA-PE),BOLSA,PLANA,SELLADO COMPLETAMENTE,Grupo 1,Si,menor igual 70,Valvula,no troquel,no zipper,1.14
FLEXIBLE (PA-PE),BOLSA,PLANA,SELLADO COMPLETAMENTE,Grupo 1,Si,menor igual 70,Valvula,no troquel,no zipper,1.035
PET/FLEXIBLE PCR (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.021
PET/PET METALIZADO/PEBD,BOLSA,FLEX UP,MULTIFLEX UP SIN SELLE DE FONDO,Grupo 2,Si,mayor 100,Valvula,Grado alto,zipper,1.111
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.971
FLEXIBLE (PA-PE),BOLSA,PLANA,SELLADO COMPLETAMENTE,Grupo 2,Si,mayor 70,Valvula,no troquel,no zipper,1.063
PET/PET METALIZADO/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 100,No valvula,Grado alto,no zipper,1.011
BOPP MATE/PET METALIZADO/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 1,Si,mayor 100,No valvula,Grado bajo,zipper,0.947
PET/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 100,No valvula,Grado bajo,zipper,1.074
PEADIMP/PEADTS-AB,BOLSA,FLOW PACK 4 SELLES,FLOW PACK 4 SELLES,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.955
PET/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 1,Si,menor igual 100,No valvula,Grado bajo,zipper,0.977
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,Grado alto,no zipper,0.984
