PorcentajeCumplimiento,CombinedFeature
0.959,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
0.971,BOPP MATE/FOIL/PEBD_ROLLO_nan_nan_Grupo 1_Si_menor igual 100_nan_nan_nan
0.813,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.974,BOPA/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.097,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
0.817,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.081,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
0.95,BOPP MATE/BOPP METALIZADO/PEBD_BOLSA_FLOW PACK_FLOW PACK 4 SELLES_Grupo 1_Si_mayor 100_No valvula_no troquel_no zipper
0.94,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
0.99,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
0.982,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
1.101,PET MATE/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.095,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.009,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.095,FLEXIBLE (PA-PE)_BOLSA_FLEX UP_MULTIFLEX UP SIN SELLE DE FONDO_Grupo 3_Si_mayor 70_No valvula_no troquel_no zipper
0.961,PET/FLEXIBLE (PA-PE)_BOLSA_FLOW PACK_FLOW PACK 4 SELLES_Grupo 2_Si_mayor 100_No valvula_no troquel_no zipper
1.08,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.054,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
0.98,BOPA/PEBD_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 2_Si_mayor 100_No valvula_Grado bajo_zipper
1.047,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado bajo_zipper
1.106,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
1.058,PEADTS_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_zipper
0.987,PET/FOIL/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.123,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
0.988,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.069,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 1_Si_menor igual 100_nan_nan_nan
1.042,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 1_Si_menor igual 100_nan_nan_nan
1.076,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.046,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.028,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_no zipper
0.955,PET METALIZADO/PEBD_ROLLO_nan_nan_Grupo 1_NO_menor igual 100_nan_nan_nan
1.045,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.0,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_NO_mayor 100_nan_nan_nan
0.991,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.065,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.096,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.051,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
1.059,PEADTS-AB_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_no troquel_zipper
1.019,PEADTS_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_zipper
0.99,PET MATE/PET METALIZADO/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.012,BOPP MATE/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado bajo_zipper
0.936,BOPP CAVITADO_BOLSA_PLANA_HILO_Grupo 1_Si_menor igual 100_No valvula_no troquel_no zipper
1.05,PET/PET METALIZADO/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
1.0,PET/PET METALIZADO/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
1.043,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado bajo_zipper
1.131,PET/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 2_Si_mayor 100_No valvula_Grado bajo_zipper
1.059,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 3_Si_menor igual 70_No valvula_no troquel_no zipper
0.945,PET/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado alto_zipper
0.989,PET/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado alto_zipper
1.015,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.871,PET/BOPP METALIZADO/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.052,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.04,PET/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado alto_zipper
1.074,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
1.091,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
1.05,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 2_Si_mayor 70_Valvula_no troquel_no zipper
1.145,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado bajo_zipper
0.973,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_NO_menor igual 100_nan_nan_nan
0.908,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.06,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
1.056,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
0.947,PET/PEBD_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_zipper
1.022,BOPA/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_no zipper
1.034,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
1.083,PET/COEXT. HBA (PE-EVOH)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_no troquel_no zipper
0.916,BOPA/FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 2_Si_menor igual 100_Valvula_no troquel_no zipper
1.107,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_mayor 70_No valvula_no troquel_no zipper
0.913,PEADTS_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado bajo_zipper
1.065,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
1.024,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_no zipper
1.0,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.049,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 2_Si_mayor 100_Valvula_Grado alto_no zipper
1.033,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
1.019,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_no zipper
1.059,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.075,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.981,BOPA/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 100_No valvula_no troquel_no zipper
0.986,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 3_NO_mayor 70_Valvula_no troquel_no zipper
0.997,PET MATE/PEBD_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 1_Si_mayor 100_No valvula_Grado bajo_zipper
1.067,PET/COEXT. HBA (PE-EVOH)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_no troquel_no zipper
1.045,PET/COEXT. HBA (PE-EVOH)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_no troquel_no zipper
0.82,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.09,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.016,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.062,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
1.059,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_mayor 70_No valvula_no troquel_no zipper
0.985,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
1.079,PEADTS_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_zipper
0.994,PET/COEXT. HBA (PE-EVOH)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 100_No valvula_no troquel_no zipper
1.083,PEADTS_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_zipper
0.891,PET/BOPP METALIZADO/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.013,BOPA/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado bajo_zipper
1.068,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 3_Si_mayor 70_Valvula_no troquel_no zipper
1.042,PEADTS_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_zipper
0.955,PEADTS_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_zipper
0.948,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado bajo_no zipper
1.018,BOPA/PEBD_BOLSA_PLANA_LATERAL+FONDO+PRESELLE+SEGURIDAD_Grupo 2_Si_mayor 100_No valvula_no troquel_no zipper
1.031,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.05,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.048,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.057,BOPP PLANO_LAMINA SEPARADORA_0_0_Grupo 1_NO_menor igual 100_No valvula_no troquel_no zipper
1.016,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 100_No valvula_Grado bajo_no zipper
0.81,PET/PET METALIZADO/PEBD_BOLSA_PLANA_LATERAL+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado alto_no zipper
0.896,BOPA/PEBD_BOLSA_PLANA_LATERAL+FONDO+PRESELLE+SEGURIDAD_Grupo 2_Si_mayor 100_No valvula_no troquel_no zipper
1.121,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
0.935,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 3_NO_mayor 70_No valvula_no troquel_no zipper
0.955,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 3_NO_menor igual 70_No valvula_no troquel_no zipper
1.019,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
0.965,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado bajo_zipper
1.028,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.029,BOPP METALIZADO/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 100_No valvula_no troquel_no zipper
0.965,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.051,PET MATE/PET METALIZADO/FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_Valvula_no troquel_no zipper
0.95,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_no zipper
1.117,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 3_NO_menor igual 70_No valvula_no troquel_no zipper
1.071,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
1.033,BOPP PLANO/BOPP METALIZADO/PEBD_BOLSA_FLEX UP_MULTIFLEX UP SIN SELLE DE FONDO_Grupo 2_Si_mayor 100_No valvula_Grado bajo_zipper
0.95,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
0.758,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.838,BOPP PLANO/BOPP METALIZADO/PEBD_BOLSA_FLEX UP_MULTIFLEX UP SIN SELLE DE FONDO_Grupo 2_Si_mayor 100_No valvula_Grado bajo_zipper
0.963,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_mayor 70_Valvula_Grado alto_no zipper
1.042,PET/FLEXIBLE PCR (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.056,PET/FLEXIBLE PCR (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
0.952,PET/FLEXIBLE PCR (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
0.973,PET/FLEXIBLE PCR (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.066,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 5_Si_menor igual 100_nan_nan_nan
1.06,BOPP MATE/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.935,BOPP MATE/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.971,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.063,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.015,BOPP MATE/BOPP METALIZADO_BOLSA_FLOW PACK_VENTRAL DORSO/DORSO_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_no zipper
1.014,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.088,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.07,PET METALIZADO/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 100_No valvula_Grado bajo_no zipper
1.026,PAPEL/PET METALIZADO/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado bajo_zipper
1.077,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_Valvula_no troquel_no zipper
1.077,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 70_No valvula_no troquel_no zipper
0.971,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.128,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado bajo_zipper
1.006,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 1_Si_menor igual 70_Valvula_no troquel_no zipper
0.986,BOPP MATE/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.016,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.92,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.012,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 70_No valvula_Grado bajo_no zipper
1.07,PET/BOPA/PEBD_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.021,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 70_No valvula_Grado bajo_no zipper
1.084,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado bajo_no zipper
1.061,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.042,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.014,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_zipper
1.034,PET/PEBD_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 2_Si_menor igual 100_No valvula_Grado bajo_zipper
1.081,PET/FOIL/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.012,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_mayor 100_nan_nan_nan
1.091,PET/FOIL/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
0.908,PET/FOIL/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 2_Si_mayor 100_nan_nan_nan
1.049,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
1.064,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_mayor 100_nan_nan_nan
1.035,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_mayor 100_nan_nan_nan
0.971,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_mayor 100_nan_nan_nan
1.079,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.14,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 1_Si_menor igual 70_Valvula_no troquel_no zipper
1.035,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 1_Si_menor igual 70_Valvula_no troquel_no zipper
1.021,PET/FLEXIBLE PCR (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
1.111,PET/PET METALIZADO/PEBD_BOLSA_FLEX UP_MULTIFLEX UP SIN SELLE DE FONDO_Grupo 2_Si_mayor 100_Valvula_Grado alto_zipper
0.971,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.063,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 2_Si_mayor 70_Valvula_no troquel_no zipper
1.011,PET/PET METALIZADO/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado alto_no zipper
0.947,BOPP MATE/PET METALIZADO/PEBD_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 1_Si_mayor 100_No valvula_Grado bajo_zipper
1.074,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_zipper
0.955,PEADIMP/PEADTS-AB_BOLSA_FLOW PACK 4 SELLES_FLOW PACK 4 SELLES_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
0.977,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_zipper
0.984,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 2_Si_mayor 100_Valvula_Grado alto_no zipper
0.875,PET/BOPP METALIZADO/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.995,BOPP MATE/PET METALIZADO/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.005,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
